Year,Number of Attacks
1970,"	468"
1971,"	247"
1972,"2	64"
1973,"3	58"
1974,"4	94"
1975,"	149"
1976,"	105"
1977,"	130"
1978,"8	87"
1979,"	69"
1980,"	67"
1981,"	73"
1982,"	78"
1983,"	44"
1984,"	63"
1985,"	40"
1986,"	49"
1987,"	34"
1988,"	27"
1989,"	42"
1990,"	32"
1991,"	30"
1992,"	32"
1994,"	56"
1995,"	60"
1996,"	35"
1997,"	40"
1998,"	30"
1999,"	53"
2000,"	32"
2001,"	41"
2002,"	33"
2003,"	32"
2004,"	9"
2005,"	20"
2006,"	6"
2007,"	9"
2008,"	18"
2009,"	10"
2010,"	17"
2011,"	10"
2012,"	19"
2013,"	20"
2014,"	26"
2015,"	39"
2016,"	61"
